"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.352715400E-2,9.179999828E-1,-9.137999535E0,-2.898000002E0
2.976253800E-2,8.230000138E-1,-9.060999870E0,-2.859999895E0
4.976253800E-2,7.080000043E-1,-9.156999588E0,-2.954999924E0
6.976253800E-2,6.119999886E-1,-9.291000366E0,-2.917000055E0
8.976253800E-2,5.159999728E-1,-9.425000191E0,-2.878999949E0
1.097625380E-1,5.350000262E-1,-9.520999908E0,-2.878999949E0
1.297625380E-1,5.550000072E-1,-9.885000229E0,-2.821000099E0
1.497625380E-1,6.499999762E-1,-1.001900005E1,-2.687000036E0
1.697625380E-1,7.649999857E-1,-1.007600021E1,-2.859999895E0
1.897625380E-1,8.420000076E-1,-9.751000404E0,-3.032000065E0
2.097625380E-1,6.890000105E-1,-8.276000023E0,-2.648999929E0
2.297625380E-1,5.159999728E-1,-7.815999985E0,-2.418999910E0
2.497625380E-1,-7.599999756E-2,-7.702000141E0,-1.805999994E0
2.697625380E-1,-3.059999943E-1,-8.218999863E0,-1.309000015E0
2.897625380E-1,5.159999728E-1,-8.946000099E0,-1.845000029E0
3.097625380E-1,1.626999974E0,-9.119000435E0,-2.266000032E0
3.297625380E-1,1.952000022E0,-9.003999710E0,-1.901999950E0
3.497625380E-1,2.259000063E0,-9.098999977E0,-1.805999994E0
3.697625380E-1,2.584000111E0,-9.730999947E0,-2.036000013E0
3.897625380E-1,2.584000111E0,-9.730999947E0,-2.036000013E0
4.097625380E-1,2.947999954E0,-1.218200016E1,-2.611000061E0
4.297625380E-1,2.430999994E0,-1.059300041E1,-2.533999920E0
4.497625380E-1,1.914000034E0,-8.888999939E0,-1.978999972E0
4.697625380E-1,1.072000027E0,-7.318999767E0,-1.269999981E0
4.897625380E-1,5.350000262E-1,-8.064999580E0,-1.174999952E0
5.097625380E-1,-5.700000003E-2,-9.234000206E0,-1.154999971E0
5.297625380E-1,-9.190000296E-1,-1.015299988E1,-1.309000015E0
5.497625380E-1,-2.526999950E0,-1.034399986E1,-9.829999804E-1
5.697625380E-1,-2.891000032E0,-9.156999588E0,-1.537999988E0
5.897625380E-1,-2.183000088E0,-8.755000114E0,-1.768000007E0
6.097625380E-1,-2.259000063E0,-8.640000343E0,-3.051000118E0
6.297625380E-1,-1.894999981E0,-8.984999657E0,-2.016999960E0
6.497625380E-1,-9.570000172E-1,-9.597000122E0,2.252000093E0
6.697625380E-1,-5.550000072E-1,-1.015299988E1,3.286000013E0
6.897625380E-1,-1.529999971E-1,-1.051700020E1,3.229000092E0
7.097625380E-1,-5.929999948E-1,-1.038199997E1,1.524000049E0
7.297625380E-1,-8.230000138E-1,-9.213999748E0,-1.021000028E0
7.497625380E-1,-5.550000072E-1,-8.774000168E0,-1.615000010E0
7.697625380E-1,-6.129999757E-1,-8.505999565E0,-1.768000007E0
7.897625380E-1,-1.205999970E0,-8.333999634E0,-1.652999997E0
8.097625380E-1,-1.819000006E0,-8.487000465E0,-1.577000022E0
8.297625380E-1,-2.125000000E0,-8.581999779E0,-5.619999766E-1
8.497625380E-1,-1.781000018E0,-8.524999619E0,1.270000041E-1
8.697625380E-1,-1.455000043E0,-8.409999847E0,5.669999719E-1
8.897625380E-1,-1.302000046E0,-8.085000038E0,2.989999950E-1
9.097625380E-1,-4.589999914E-1,-7.815999985E0,4.709999859E-1
9.297625380E-1,-5.700000003E-2,-8.543999672E0,4.140000045E-1
9.497625380E-1,4.399999976E-1,-9.616999626E0,-1.790000051E-1
9.697625380E-1,8.610000014E-1,-1.036299992E1,-6.959999800E-1
9.897625380E-1,8.610000014E-1,-1.036299992E1,-6.959999800E-1
1.009762538E0,7.599999756E-2,-1.208699989E1,-7.340000272E-1
1.029762538E0,8.799999952E-1,-1.616600037E1,-1.098000050E0
1.049762538E0,2.278000116E0,-1.944000053E1,1.659000039E0
1.069762538E0,-4.589999914E-1,-1.528499985E1,1.620000005E0
1.089762538E0,-5.170000196E-1,-8.640000343E0,3.179999888E-1
1.109762538E0,-1.340000033E-1,-6.322999954E0,2.800000012E-1
1.129762538E0,0.000000000E0,-4.771999836E0,5.000000075E-2
1.149762538E0,3.630000055E-1,-4.177999973E0,-1.019999981E-1
1.169762538E0,6.690000296E-1,-6.610000134E0,-1.347000003E0
1.189762538E0,4.009999931E-1,-8.755000114E0,-1.768000007E0
1.209762538E0,1.909999996E-1,-1.042099953E1,-2.170000076E0
1.229762538E0,3.630000055E-1,-1.164599991E1,-2.552999973E0
1.249762538E0,7.080000043E-1,-1.105300045E1,-2.974999905E0
1.269762538E0,1.894999981E0,-9.845999718E0,-4.353000164E0
1.289762538E0,2.565000057E0,-8.755000114E0,-6.344999790E0
1.309762538E0,2.105999947E0,-8.104000092E0,-6.612999916E0
1.329762538E0,1.052000046E0,-7.223000050E0,-4.276999950E0
1.349762538E0,2.029000044E0,-8.468000412E0,-1.154999971E0
1.369762538E0,2.737999916E0,-9.272000313E0,-1.001999974E0
1.389762538E0,2.661000013E0,-9.482000351E0,-5.809999704E-1
1.409762538E0,2.240000010E0,-9.387000084E0,-5.230000019E-1
1.429762538E0,1.281999946E0,-9.234000206E0,-6.190000176E-1
1.429762538E0,1.281999946E0,-9.234000206E0,-6.190000176E-1
1.469762538E0,7.649999857E-1,-9.559000015E0,-1.404000044E0
1.489762538E0,6.499999762E-1,-9.635999680E0,-1.577000022E0
1.509762538E0,2.669999897E-1,-9.425000191E0,-1.615000010E0
1.529762538E0,-3.799999878E-2,-9.368000031E0,-1.269999981E0
1.549762538E0,-1.909999996E-1,-9.425000191E0,-8.870000243E-1
1.569762538E0,-2.099999934E-1,-9.673999786E0,-7.530000210E-1
1.589762538E0,-2.489999980E-1,-1.005700016E1,-6.959999800E-1
1.609762538E0,-1.909999996E-1,-1.067000008E1,-3.129999936E-1
1.629762538E0,-3.639999926E-1,-1.055500031E1,-6.400000304E-2
1.649762538E0,-5.740000010E-1,-1.049699974E1,-2.169999927E-1
1.669762538E0,-8.230000138E-1,-1.036299992E1,-6.190000176E-1
1.689762538E0,-1.838000059E0,-9.942000389E0,-1.213000059E0
1.709762538E0,-2.622999907E0,-9.998999596E0,-1.652999997E0
1.729762538E0,-3.618999958E0,-1.070800018E1,-2.188999891E0
1.749762538E0,-4.136000156E0,-1.076500034E1,-1.901999950E0
1.769762538E0,-8.866000175E0,-9.751000404E0,5.099999905E-1
1.789762538E0,-5.361000061E0,-1.045899963E1,-1.209999993E-1
1.809762538E0,-3.217000008E0,-1.038199997E1,8.799999952E-2
1.829762538E0,-1.646999955E0,-9.578000069E0,-4.500000179E-2
1.849762538E0,-4.779999852E-1,-9.098999977E0,-9.060000181E-1
1.869762538E0,-3.059999943E-1,-1.279500008E1,-2.016999960E0
1.889762538E0,-2.300000042E-1,-1.564799976E1,-3.262000084E0
1.909762538E0,-1.149000049E0,-1.704599953E1,-4.947000027E0
1.929762538E0,7.599999756E-2,-1.652899933E1,-5.789000034E0
1.949762538E0,1.072000027E0,-1.132100010E1,-4.104000092E0
1.969762538E0,1.416000009E0,-8.946000099E0,-2.227999926E0
1.989762538E0,2.526999950E0,-7.453000069E0,-8.299999684E-2
2.009762538E0,4.499000072E0,-7.261000156E0,8.799999952E-2
2.029762538E0,4.499000072E0,-7.261000156E0,8.799999952E-2
2.049762538E0,4.499000072E0,-7.261000156E0,8.799999952E-2
2.069762538E0,8.730999947E0,-6.513999939E0,-5.230000019E-1
2.089762538E0,7.525000095E0,-4.598999977E0,-8.870000243E-1
2.109762538E0,6.835000038E0,-3.756999969E0,-9.259999990E-1
2.129762538E0,6.835000038E0,-3.756999969E0,-9.259999990E-1
2.149762538E0,6.835000038E0,-3.756999969E0,-9.259999990E-1
2.169762538E0,1.952000022E0,-7.969999790E0,7.269000053E0
2.189762538E0,1.128999949E0,-8.371999741E0,9.120000005E-1
2.209762538E0,2.099999934E-1,-1.447999954E1,1.294999957E0
2.229762538E0,-5.073999882E0,-1.894199944E1,-5.040000081E-1
2.249762538E0,-1.528100014E1,-1.819499969E1,-5.118999958E0
2.269762538E0,-1.261900043E1,-1.637599945E1,-5.406000137E0
2.289762538E0,-2.144000053E0,-1.386800003E1,-4.372000217E0
2.309762538E0,5.159999728E-1,-1.369499969E1,-3.414999962E0
2.329762538E0,-1.934000015E0,-1.225899982E1,-4.850000143E-1
2.349762538E0,-3.447000027E0,-9.501999855E0,9.689999819E-1
2.369762538E0,-2.700000048E0,-6.896999836E0,1.026999950E0
2.389762538E0,-1.187000036E0,-4.216000080E0,5.479999781E-1
2.409762538E0,-4.779999852E-1,-4.541999817E0,3.950000107E-1
2.429762538E0,-3.249999881E-1,-5.806000233E0,4.709999859E-1
2.449762538E0,-4.210000038E-1,-7.625000000E0,6.240000129E-1
2.469762538E0,5.159999728E-1,-1.074600029E1,7.390000224E-1
2.489762538E0,1.416000009E0,-1.107199955E1,-1.400000006E-1
2.509762538E0,2.526999950E0,-1.099499989E1,-4.065999985E0
2.529762538E0,3.234999895E0,-1.078499985E1,-9.600000381E0
2.549762538E0,3.234999895E0,-1.078499985E1,-9.600000381E0
2.569762538E0,2.355000019E0,-8.064999580E0,-3.319999874E-1
2.589762538E0,1.914000034E0,-8.276000023E0,2.419999987E-1
2.609762538E0,1.588999987E0,-8.237999916E0,2.610000074E-1
2.629762538E0,1.378000021E0,-8.123000145E0,1.459999979E-1
2.649762538E0,1.378000021E0,-8.123000145E0,1.459999979E-1
2.669762538E0,9.570000172E-1,-9.347999573E0,-8.299999833E-1
2.689762538E0,1.110000014E0,-9.979999542E0,-1.289000034E0
2.709762538E0,1.243999958E0,-1.040200043E1,-2.055000067E0
2.729762538E0,1.243999958E0,-1.040200043E1,-2.055000067E0
2.749762538E0,1.243999958E0,-1.040200043E1,-2.055000067E0
2.769762538E0,2.870000005E-1,-9.156999588E0,-2.936000109E0
2.789762538E0,2.669999897E-1,-9.329000473E0,-2.151000023E0
2.809762538E0,5.550000072E-1,-1.040200043E1,-1.672000051E0
2.829762538E0,1.519999951E-1,-1.091899967E1,-2.075000048E0
2.849762538E0,-8.610000014E-1,-1.114799976E1,-2.496000051E0
2.869762538E0,-2.604000092E0,-1.206799984E1,-2.667999983E0
2.889762538E0,-3.983000040E0,-1.273799992E1,-2.476999998E0
2.909762538E0,-6.586999893E0,-9.597000122E0,-6.000000238E-1
2.929762538E0,-5.552999973E0,-9.463000298E0,-1.021000028E0
2.949762538E0,-5.342000008E0,-9.137999535E0,-3.129999936E-1
2.969762538E0,-4.366000175E0,-8.543999672E0,1.200000010E-2
2.989762538E0,-2.622999907E0,-7.644000053E0,-4.469999969E-1
3.009762538E0,-2.470000029E0,-8.755000114E0,-9.639999866E-1
3.029762538E0,-2.585000038E0,-1.139700031E1,-2.457999945E0
3.049762538E0,-2.259000063E0,-1.486299992E1,-3.816999912E0
3.069762538E0,-2.068000078E0,-1.944000053E1,-7.818999767E0
3.089762538E0,-1.741999984E0,-1.618499947E1,-7.474999905E0
3.109762538E0,-1.741999984E0,-1.206799984E1,-5.923999786E0
3.129762538E0,0.000000000E0,-9.291000366E0,-3.510999918E0
3.149762538E0,2.200999975E0,-7.796999931E0,-1.098000050E0
3.169762538E0,5.591000080E0,-6.610000134E0,9.120000005E-1
3.189762538E0,7.353000164E0,-4.887000084E0,2.213999987E0
3.209762538E0,9.842000008E0,-6.935999870E0,1.351999998E0
3.229762538E0,1.114400005E1,-7.547999859E0,1.006999969E0
3.249762538E0,1.114400005E1,-7.547999859E0,1.006999969E0
3.269762538E0,6.203999996E0,-4.216000080E0,-2.750000060E-1
3.289762538E0,5.801000118E0,-4.695000172E0,-4.850000143E-1
3.309762538E0,5.552999973E0,-5.136000156E0,1.314000010E0
3.329762538E0,5.552999973E0,-5.136000156E0,1.314000010E0
3.349762538E0,5.552999973E0,-5.136000156E0,1.314000010E0
3.369762538E0,4.779999852E-1,-1.126299953E1,-1.672000051E0
3.389762538E0,-4.078000069E0,-1.620400047E1,-4.143000126E0
3.409762538E0,-1.030200005E1,-1.940200043E1,-6.631999969E0
3.429762538E0,-3.581000090E0,-2.051199913E1,-7.225999832E0
3.449762538E0,-1.149000049E0,-1.945899963E1,-4.545000076E0
3.469762538E0,1.140000001E-1,-1.580200005E1,-1.116999984E0
3.489762538E0,-3.427000046E0,-1.082299995E1,-4.469999969E-1
3.509762538E0,-2.355000019E0,-3.832999945E0,1.332999945E0
3.529762538E0,-1.570000052E0,-2.263000011E0,1.314000010E0
3.549762538E0,-7.080000043E-1,-1.649999976E0,1.179999948E0
3.569762538E0,1.909999996E-1,-2.109999895E0,1.083999991E0
3.589762538E0,1.909999996E-1,-2.109999895E0,1.083999991E0
3.609762538E0,1.909999996E-1,-2.109999895E0,1.083999991E0
3.629762538E0,6.499999762E-1,-1.235499954E1,5.479999781E-1
3.649762538E0,1.799000025E0,-1.312100029E1,-1.154999971E0
3.669762538E0,2.986999989E0,-1.275699997E1,-4.448999882E0
3.689762538E0,3.752000093E0,-8.218999863E0,-8.489999771E0
3.709762538E0,1.779999971E0,-6.131000042E0,-1.672000051E0
3.729762538E0,1.779999971E0,-6.419000149E0,1.065000057E0
3.749762538E0,2.661000013E0,-7.874000072E0,1.256000042E0
3.769762538E0,3.446000099E0,-9.597000122E0,3.362999916E0
3.789762538E0,2.086999893E0,-8.180000305E0,1.945999980E0
3.809762538E0,2.181999922E0,-8.678000450E0,1.276000023E0
3.829762538E0,2.698999882E0,-9.520999908E0,3.179999888E-1
3.849762538E0,2.698999882E0,-9.520999908E0,3.179999888E-1
3.869762538E0,1.894999981E0,-1.024800014E1,-3.338000059E0
3.889762538E0,7.269999981E-1,-1.028699970E1,-2.151000023E0
3.909762538E0,-7.599999756E-2,-1.021000004E1,-1.213000059E0
3.929762538E0,-8.230000138E-1,-9.942000389E0,-3.129999936E-1
3.949762538E0,-2.278000116E0,-9.885000229E0,-3.510000110E-1
3.969762538E0,-2.719000101E0,-1.022900009E1,-9.259999990E-1
3.989762538E0,-3.407999992E0,-1.099499989E1,-1.078999996E0
4.009762538E0,-4.020999908E0,-1.193400002E1,-9.449999928E-1
4.029762538E0,-6.988999844E0,-1.413599968E1,-3.243000031E0
4.049762538E0,-7.985000134E0,-1.245100021E1,-3.798000097E0
4.069762538E0,-1.028299999E1,-9.022999763E0,-4.085000038E0
4.089762538E0,-1.043599987E1,-6.532999992E0,-4.500000179E-2
4.109762538E0,-4.117000103E0,-5.921000004E0,2.610000074E-1
4.129762538E0,-1.473999977E0,-7.280000210E0,-1.327999949E0
4.149762538E0,3.799999878E-2,-1.068900013E1,-2.400000095E0
4.169762538E0,1.894999981E0,-1.593599987E1,-3.414999962E0
4.189762538E0,4.710000038E0,-2.133600044E1,-3.855000019E0
4.209762538E0,4.710000038E0,-2.133600044E1,-3.855000019E0
4.229762538E0,-2.489999980E-1,-1.419299984E1,-1.790000051E-1
4.249762538E0,-8.420000076E-1,-8.027000427E0,2.610000074E-1
4.269762538E0,8.230000138E-1,-3.565000057E0,5.507999897E0
4.289762538E0,7.179999828E0,-7.739999771E0,9.720000267E0
4.309762538E0,6.184000015E0,-8.581999779E0,1.697000027E0
4.329762538E0,3.809999943E0,-7.394999981E0,-1.116999984E0
4.349762538E0,3.924999952E0,-6.724999905E0,-2.667999983E0
4.369762538E0,5.303999901E0,-5.671999931E0,-2.821000099E0
4.389762538E0,5.303999901E0,-4.560999870E0,-1.960000038E0
4.409762538E0,5.227000237E0,-3.832999945E0,-1.805999994E0
4.429762538E0,5.322999954E0,-3.795000076E0,-1.940000057E0
4.449762538E0,5.552999973E0,-4.177999973E0,-1.633999944E0
4.469762538E0,5.973999977E0,-7.912000179E0,4.359000206E0
4.489762538E0,2.240000010E0,-1.164599991E1,6.235000134E0
4.509762538E0,4.210000038E-1,-1.176099968E1,3.687999964E0
4.529762538E0,-6.126999855E0,-1.672100067E1,1.650000066E-1
4.549762538E0,-1.043599987E1,-2.265699959E1,-7.360000134E0
4.569762538E0,-3.696000099E0,-1.901899910E1,-3.855000019E0
4.589762538E0,-6.700000167E-1,-1.560999966E1,-5.230000019E-1
4.609762538E0,-1.398000002E0,-1.266100025E1,1.332999945E0
4.629762538E0,-1.723000050E0,-1.017199993E1,-4.850000143E-1
4.649762538E0,-1.110000014E0,-6.456999779E0,3.759999871E-1
4.669762538E0,-9.570000172E-1,-2.627000093E0,8.930000067E-1
4.689762538E0,-3.799999878E-2,-1.764999986E0,8.930000067E-1
4.709762538E0,1.205999970E0,-2.397000074E0,5.099999905E-1
4.729762538E0,2.910000086E0,-6.342000008E0,3.950000107E-1
4.749762538E0,2.737999916E0,-9.368000031E0,-8.299999684E-2
4.769762538E0,2.220999956E0,-1.185700035E1,-7.149999738E-1
4.789762538E0,2.374000072E0,-1.289099979E1,-1.136000037E0
4.809762538E0,2.374000072E0,-1.289099979E1,-1.136000037E0
4.829762538E0,2.374000072E0,-1.289099979E1,-1.136000037E0
4.849762538E0,5.322999954E0,-7.242000103E0,-5.578999996E0
4.869762538E0,4.155000210E0,-6.686999798E0,-2.993999958E0
4.889762538E0,1.187000036E0,-7.682000160E0,1.650000066E-1
4.909762538E0,1.779999971E0,-8.659000397E0,5.099999905E-1
4.929762538E0,2.355000019E0,-9.310000420E0,5.860000253E-1
4.949762538E0,2.125000000E0,-9.673999786E0,3.950000107E-1
